ID,waterbody,TL_mm,cluster,phenotype,sex,lifeyear,inc_um,rad_um,res_mean,Sr_mean,genotype
BH-00355,Tributary,552,FW low saline|shift,FW_resident,m,1,495.6,495.6,-1.21319198890855,-1.76037876384279,2
BH-00355,Tributary,552,FW low saline|shift,FW_resident,m,2,237.5,733.1,0.294154772208925,-2.00985858898706,2
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,1,460.5,460.5,-0.18856292895534,-1.8594396536829,
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,2,228.8,689.3,-0.0741780593682741,-2.03585071355179,
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,3,238,927.3,0.410292647396989,-2.05239891924634,
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,4,233.8,1161.1,1.37146594562322,-1.9260067967808,
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,5,135.4,1296.5,0.962842820047159,-1.73244626192807,
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,6,123.6,1420.1,1.21105114956631,-1.84645932154258,
BH-00356,Tributary,815,FW low saline|cold,FW_resident,f,7,127.4,1547.5,0.335894444940592,-1.7930351237742,
BH-00385,Tributary,765,FW int saline|const,FW_resident,f,1,432.7,432.7,-0.612365923376872,-1.4820449215416,2
BH-00385,Tributary,765,FW int saline|const,FW_resident,f,2,239.5,672.2,-0.568688599369896,-1.17923132391436,2
BH-00385,Tributary,765,FW int saline|const,FW_resident,f,3,273.8,946,-0.0743800706487714,-1.02351165370978,2
BH-00385,Tributary,765,FW int saline|const,FW_resident,f,4,184.6,1130.6,-1.30981621706623,-0.9816860054948,2
BH-00385,Tributary,765,FW int saline|const,FW_resident,f,5,131.5,1262.1,-0.19007020204139,-1.16641819402437,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,1,458.7,458.7,-0.253917154677658,-1.61298904228635,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,2,207.6,666.3,-0.346989776379136,-1.66914382819361,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,3,183.9,850.2,-0.582403133561768,-1.13156348717856,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,4,196.5,1046.7,-1.12235712761348,-1.14327457854088,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,5,156.1,1202.8,-0.451443225117016,-1.19521682754351,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,6,113.8,1316.6,-0.235880463375685,-1.19581179126004,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,7,92,1408.6,-0.150620084052033,-1.1250694387694,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,8,105.7,1514.3,0.511180041885196,-1.14078202221446,2
BH-00391,Tributary,903,FW int saline|const,FW_resident,f,9,80.7,1595,1.4921443967994,-0.98111641209488,2
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,1,565,565,0.756180284800835,-1.52158961835711,
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,2,189.1,754.1,-0.382973069099182,-1.29054453256439,
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,3,229.4,983.5,-0.870637784712158,-1.22431755285485,
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,4,215.7,1199.2,-0.297123211129753,-1.0886774914418,
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,5,140.3,1339.5,0.321190380033488,-0.97105452571243,
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,6,132.3,1471.8,0.742642311679735,-0.509888621835207,
BH-00392,Tributary,930,FW int saline|const,FW_resident,f,7,110,1581.8,0.55913211498833,-0.682557883380071,
BH-00398,Tributary,761,FW int saline|const,FW_resident,f,1,431,431,-0.620227961298078,-1.7135741047534,2
BH-00398,Tributary,761,FW int saline|const,FW_resident,f,2,300.5,731.5,-0.581252428414346,-1.57358511663762,2
BH-00398,Tributary,761,FW int saline|const,FW_resident,f,3,252.5,984,-0.0355645919499797,-1.38133964363217,2
BH-00398,Tributary,761,FW int saline|const,FW_resident,f,4,103.8,1087.8,0.454478898625664,-1.3499248927735,2
BH-00398,Tributary,761,FW int saline|const,FW_resident,f,5,131.6,1219.4,-0.036126741883289,-1.23697803076389,2
BH-00398,Tributary,761,FW int saline|const,FW_resident,f,6,132.4,1351.8,0.798709108035286,-1.0432735937021,2
BH-00405,Tributary,466,FW low saline|shift,FW_resident,f,1,367.2,367.2,-1.43876052325375,-1.30502846408613,2
BH-00405,Tributary,466,FW low saline|shift,FW_resident,f,2,295.9,663.1,0.223236358424942,-1.74001900591732,2
BH-00411,Tributary,677,FW int saline|const,FW_resident,f,1,397.9,397.9,-0.652766990640004,-1.47399013923572,2
BH-00411,Tributary,677,FW int saline|const,FW_resident,f,2,388.7,786.6,0.114083160996014,-1.12542873398765,2
BH-00411,Tributary,677,FW int saline|const,FW_resident,f,3,214.7,1001.3,0.571005940193511,-0.989662696460881,2
BH-00418,Tributary,758,FW low saline|cold,FW_resident,f,1,386.8,386.8,0.480394410567756,-2.11041471107892,
BH-00418,Tributary,758,FW low saline|cold,FW_resident,f,2,261.4,648.2,0.783345959970606,-2.05357259448689,
BH-00418,Tributary,758,FW low saline|cold,FW_resident,f,3,300.8,949,1.40372520406281,-1.97899109915845,
BH-00418,Tributary,758,FW low saline|cold,FW_resident,f,4,234.6,1183.6,1.16051612303135,-1.7997902567711,
BH-00418,Tributary,758,FW low saline|cold,FW_resident,f,5,195.1,1378.7,2.05768918313935,-1.84962130066676,
BH-00418,Tributary,758,FW low saline|cold,FW_resident,f,6,174.3,1553,1.62971897061212,-1.89526865735382,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,1,384.7,384.7,0.862574999570918,-1.99851702315073,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,2,195.8,580.5,1.32352963973149,-1.94601263623905,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,3,209.6,790.1,0.727230820986237,-1.88209856582547,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,4,190.7,980.8,0.639529059796771,-1.91827349398043,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,5,155.8,1136.6,0.914527222563969,-1.77605380141448,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,6,150.9,1287.5,0.854006958363954,-1.86029001849062,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,7,162.6,1450.1,1.1042143547129,-1.81342998270069,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,8,124.7,1574.8,1.96997313143942,-1.81703985051823,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,9,112.8,1687.6,1.71122586784992,-1.76155156082412,
BH-00419,Tributary,958,FW low saline|cold,FW_resident,f,10,128.5,1816.1,1.90662563783794,-1.83160149026395,
BH-00424,Tributary,425,FW low saline|cold,FW_resident,m,1,394.1,394.1,1.34630532142672,-1.94665740143235,2
BH-00424,Tributary,425,FW low saline|cold,FW_resident,m,2,266.7,660.8,1.35485978175457,-2.01422651040413,2
BH-00670,WRB,680,BW int saline|cold,BW-resident,f,1,512.9,512.9,-0.0841785905263482,0.292457995629956,U
BH-00670,WRB,680,BW int saline|cold,BW-resident,f,2,260.9,773.8,0.777042864318751,0.492781390900779,U
BH-00670,WRB,680,BW int saline|cold,BW-resident,f,3,229.3,1003.1,0.349275793026679,0.778619758784706,U
BH-00670,WRB,680,BW int saline|cold,BW-resident,f,4,217,1220.1,1.40138761304734,0.800111391074532,U
BH-00681,NRB,630,BW Low saline|shift,Trans-habitat,m,1,584.7,584.7,-0.986214566730512,-0.0900798149981437,4
BH-00681,NRB,630,BW Low saline|shift,Trans-habitat,m,2,272.2,856.9,0.632079067586387,-0.073092553464121,4
BH-00685,NRB,720,BW Low saline|shift,Trans-habitat,m,1,563.4,563.4,0.323574013039891,-0.675601849255917,3
BH-00685,NRB,720,BW Low saline|shift,Trans-habitat,m,2,211.5,774.9,0.380698617098677,-0.328496426343675,3
BH-00685,NRB,720,BW Low saline|shift,Trans-habitat,m,3,270.5,1045.4,0.36440789515878,0.282298900461005,3
BH-00689,NRB,600,BW high saline|warm,BW-resident,m,1,561,561,-1.62878887847915,0.495736404947937,3
BH-00689,NRB,600,BW high saline|warm,BW-resident,m,2,316.1,877.1,-0.0211200121307695,0.184528011102795,3
BH-00696,NRB,790,BW int saline|cold,BW-resident,f,1,499.4,499.4,-0.217453798456344,-0.0143007616028929,4
BH-00696,NRB,790,BW int saline|cold,BW-resident,f,2,203.5,702.9,0.300407396063113,0.759905250141102,4
BH-00696,NRB,790,BW int saline|cold,BW-resident,f,3,184.2,887.1,-0.830025449349443,1.34915683882848,4
BH-00696,NRB,790,BW int saline|cold,BW-resident,f,4,155.1,1042.2,-0.24584179003584,1.49806059136401,4
BH-00729,WRB,770,BW high saline|cold,BW-resident,f,1,461,461,-0.45790954433332,0.257605620268267,3
BH-00729,WRB,770,BW high saline|cold,BW-resident,f,2,347.4,808.4,-0.108212782766947,0.974296405328818,3
BH-00729,WRB,770,BW high saline|cold,BW-resident,f,3,221.9,1030.3,0.02075749744235,1.03516752974448,3
BH-00729,WRB,770,BW high saline|cold,BW-resident,f,4,205.3,1235.6,0.45059662588048,0.938623458271111,3
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,1,491.2,491.2,-1.08365139816605,0.214019372258297,U
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,2,393.6,884.8,-2.20682264714256,1.23776628980289,U
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,3,146.7,1031.5,-2.22292579109,1.74879002301609,U
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,4,147.6,1179.1,-2.50938902884712,2.03014113985632,U
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,5,123.8,1302.9,-1.11321440557287,1.79086830485285,U
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,6,132.9,1435.8,-2.48667177694839,2.15283731228139,U
BH-00730,WRB,758,BW high saline|warm,BW-resident,m,7,87.6,1523.4,-2.04706191961071,1.55657754906147,U
BH-00732,WRB,617,BW Low saline|shift,Trans-habitat,f,1,510,510,-0.509826588256173,-0.256878139749017,3
BH-00742,GB,550,BW Low saline|shift,Trans-habitat,m,1,607.4,607.4,-0.707709045262903,-1.28323743188684,
BH-00750,GB,560,BW Low saline|shift,Trans-habitat,f,1,696.7,696.7,-1.46406614372694,-1.85133530165713,1
BH-01555,NRB,760,BW high saline|warm,BW-resident,f,1,424,424,1.25831137615403,-0.204469414292179,U
BH-01555,NRB,760,BW high saline|warm,BW-resident,f,2,458,882,-0.161258209168224,0.273662552143051,U
BH-01555,NRB,760,BW high saline|warm,BW-resident,f,3,250.7,1132.7,-0.367911252297601,1.07262036989056,U
BH-01555,NRB,760,BW high saline|warm,BW-resident,f,4,205.9,1338.6,-0.744087055222664,1.50173286741266,U
BH-01555,NRB,760,BW high saline|warm,BW-resident,f,5,131.1,1469.7,-1.05719474983259,1.41093340475842,U
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,1,378.8,378.8,0.801484720101671,0.248384736055219,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,2,224.6,603.4,1.14115332981489,0.0285130753399719,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,3,191,794.4,0.849601337332558,0.316606877655931,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,4,162.5,956.9,1.18810381019261,0.555546299147385,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,5,144.4,1101.3,1.51911510029174,0.256330952849276,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,6,132.6,1233.9,0.987404108524545,0.597267886728142,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,7,103.8,1337.7,1.10666006014937,0.93570879227011,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,8,144.4,1482.1,0.992759790593405,1.16734180169943,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,9,114.3,1596.4,0.509050352857813,1.17682039032058,
BH-01556,NRB,1110,BW int saline|cold,BW-resident,f,10,109.3,1705.7,-0.30144421236129,1.22634601586608,
BH-01560,NRB,820,BW int saline|cold,BW-resident,f,1,521.2,521.2,-0.785744021735088,0.134449166980149,3
BH-01560,NRB,820,BW int saline|cold,BW-resident,f,2,203,724.2,1.05855887045233,-0.170902211366064,3
BH-01560,NRB,820,BW int saline|cold,BW-resident,f,3,173.6,897.8,1.64537034373847,-0.0196618513270176,3
BH-01560,NRB,820,BW int saline|cold,BW-resident,f,4,167.2,1065,1.39378275837174,0.404978918900446,3
BH-01560,NRB,820,BW int saline|cold,BW-resident,f,5,160.7,1225.7,-0.180725578266482,1.01976017686814,3
BH-01560,NRB,820,BW int saline|cold,BW-resident,f,6,113,1338.7,0.846171429089561,1.03811072443869,3
BH-01567,NRB,460,BW Low saline|shift,Trans-habitat,m,1,476.7,476.7,-0.955219403504377,0.127764806103004,U
BH-01567,NRB,460,BW Low saline|shift,Trans-habitat,m,2,269.1,745.8,1.87605606656022,-0.0061062386132363,U
BH-01569,NRB,550,BW Low saline|shift,Trans-habitat,m,1,552.4,552.4,-0.0591272992938081,-0.264148105708628,3
BH-01569,NRB,550,BW Low saline|shift,Trans-habitat,m,2,263.4,815.8,0.353989355543643,0.0291884247792263,3
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,1,423.1,423.1,2.31104067102959,-0.696226273307109,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,2,188.3,611.4,1.8387480010647,0.251710140896469,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,3,179.8,791.2,0.881897923485677,0.533129437058371,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,4,209.4,1000.6,0.506377729682901,0.926149635645677,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,5,150,1150.6,1.03067677692285,1.28977357138927,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,6,129.6,1280.2,1.0622376084246,1.09274530925098,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,7,144.4,1424.6,1.28749803351443,0.961182499189441,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,8,143,1567.6,0.460806981831669,1.79090023273031,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,9,140.9,1708.5,1.52137978471813,1.46165197838609,U
BH-01570,NRB,980,BW high saline|cold,BW-resident,f,10,128.8,1837.3,1.20456816848603,1.53932224171596,U
BH-01571,NRB,520,BW Low saline|shift,Trans-habitat,f,1,517.9,517.9,-0.847790596081115,-0.436482542901292,U
BH-01571,NRB,520,BW Low saline|shift,Trans-habitat,f,2,281.3,799.2,1.1344321000497,-0.203760346423108,U
BH-01576,NRB,570,BW int saline|cold,BW-resident,f,1,591.4,591.4,1.34762830357766,-0.544778533238231,U
BH-01576,NRB,570,BW int saline|cold,BW-resident,f,2,275.5,866.9,1.65120177715143,0.421872636122909,U
BH-01580,NRB,490,BW Low saline|shift,Trans-habitat,f,1,690.9,690.9,-1.17127609463031,-0.283096005265945,4
BH-01580,NRB,490,BW Low saline|shift,Trans-habitat,f,2,309,999.9,1.33907550145395,0.00757450851475356,4
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,1,434.6,434.6,-0.461907281614227,-0.337774844707183,
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,2,245.4,680,0.613133336127398,0.33692727630236,
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,3,208.6,888.6,0.490896205395172,0.463579715087972,
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,4,163.3,1051.9,1.32007238021311,0.336967964877907,
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,5,117.7,1169.6,0.536293617486553,0.690917883539013,
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,6,116.8,1286.4,0.840684264251021,0.938507865726948,
BH-01582,NRB,830,BW int saline|cold,BW-resident,f,7,136.2,1422.6,0.55088462478497,0.799784482863152,
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,1,386.4,386.4,-2.06562415327676,-0.293314859747254,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,2,212.2,598.6,-0.611755879421914,0.485984097900282,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,3,167.1,765.7,-0.487087667505625,0.493503520285615,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,4,142.9,908.6,-0.635138058289772,0.849782001209174,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,5,122.5,1031.1,-0.127081446395992,1.05187002422569,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,6,169.1,1200.2,0.194051980419,1.30222211777837,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,7,111.3,1311.5,0.137960957570942,1.42444174762764,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,8,102.2,1413.7,-0.333144375906655,1.23718094538277,4
BH-01585,NRB,760,BW high saline|warm,BW-resident,m,9,101.4,1515.1,-1.09701113723841,1.36541722219966,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,1,437.7,437.7,-0.172383337355631,0.293493703864362,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,2,214.4,652.1,0.408885713863047,0.0166678775727094,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,3,167.7,819.8,0.64888180095566,-0.0387308273068938,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,4,149.5,969.3,1.4449055880332,-0.0136247194975433,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,5,138.4,1107.7,1.12845326005607,0.491270531462975,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,6,110.2,1217.9,1.83741303088496,0.544707897620203,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,7,119.9,1337.8,2.4058764103009,0.0614068158645271,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,8,149.5,1487.3,1.65563026738189,0.43874456805778,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,9,138.4,1625.7,1.47019553676972,0.247551019537762,4
BH-01588,NRB,1050,BW int saline|cold,BW-resident,f,10,148.3,1774,1.47076046519438,0.327633635751869,4
BH-01594,NRB,630,BW high saline|warm,BW-resident,f,1,569,569,-1.84636310876672,-0.0721594952032241,3
BH-01594,NRB,630,BW high saline|warm,BW-resident,f,2,300,869,-0.978795345322005,0.431708538812081,3
BH-01595,NRB,690,BW Low saline|shift,Trans-habitat,m,1,518.8,518.8,-0.349795431448973,-0.425440230198388,4
BH-01595,NRB,690,BW Low saline|shift,Trans-habitat,m,2,256.2,775,0.225340343631934,-0.0943703634591638,4
BH-01595,NRB,690,BW Low saline|shift,Trans-habitat,m,3,199.5,974.5,-0.318610125375131,0.599341687026465,4
BH-01595,NRB,690,BW Low saline|shift,Trans-habitat,m,4,208.4,1182.9,0.0886603307688215,0.864411279506761,4
BH-01596,NRB,660,BW Low saline|shift,Trans-habitat,f,1,556.4,556.4,-0.12157350077634,-0.490030629963289,U
BH-01596,NRB,660,BW Low saline|shift,Trans-habitat,f,2,277.1,833.5,0.780621564297822,0.190281777689957,U
BH-01598,NRB,750,BW int saline|cold,BW-resident,f,1,536.1,536.1,0.414522689990298,-0.159320658887529,U
BH-01598,NRB,750,BW int saline|cold,BW-resident,f,2,238.5,774.6,1.10952246370145,0.036386397273927,U
BH-01598,NRB,750,BW int saline|cold,BW-resident,f,3,211.3,985.9,0.746640125554249,0.446666654378979,U
BH-01598,NRB,750,BW int saline|cold,BW-resident,f,4,294.9,1280.8,1.02761564183807,0.972804409482474,U
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,1,656.1,656.1,0.877003986903117,-0.178685648068684,3
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,2,233,889.1,1.09010041642097,-0.211948945579247,3
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,3,182.3,1071.4,1.05705599174232,0.145569946048014,3
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,4,178.1,1249.5,0.615322305894838,0.627865247707333,3
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,5,167.1,1416.6,0.232695192898272,0.651500913219989,3
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,6,124,1540.6,0.0617561780220417,0.952001979392856,3
BH-01713,WRB,980,BW int saline|cold,BW-resident,f,7,108.8,1649.4,-0.251359025934256,1.02583005041158,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,1,445.4,445.4,0.370865486243073,-0.11781003249115,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,2,202.6,648,0.729146746691556,0.22173592718759,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,3,129,777,1.35711647852624,0.14746753972988,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,4,128.6,905.6,1.01322987040618,0.662679869843423,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,5,137,1042.6,0.389399940540706,0.674141670852996,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,6,164.3,1206.9,0.672702492340011,0.485401097739877,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,7,134.2,1341.1,1.46949938849376,0.267349812121366,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,8,106.8,1447.9,2.04118292778195,0.406845471736609,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,9,74,1521.9,1.96529678734175,0.835890140061898,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,10,71.2,1593.1,0.810649271045652,1.07978637732074,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,11,136.9,1730,0.436700098539801,1.22163953205458,3
BH-01717,NRB,1040,BW int saline|cold,BW-resident,f,12,101.5,1831.5,0.478983457263017,0.85502230663258,3
BH-01719,WRB,550,BW Low saline|shift,Trans-habitat,f,1,595,595,0.308859186449352,-0.0300525823893907,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,1,405.7,405.7,1.23786887823674,0.280990230269401,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,2,193.6,599.3,0.777487126288243,0.249296746409087,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,3,141.5,740.8,1.44509926611062,0.402441573638777,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,4,157.3,898.1,1.97495630955348,0.678185868664688,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,5,159.3,1057.4,2.02621800716279,1.30143952661529,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,6,95.8,1153.2,0.506241067310181,1.10356548272313,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,7,168.1,1321.3,0.883296418390088,1.08714078992781,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,8,108.5,1429.8,1.84024774870863,0.924565982223746,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,9,112.1,1541.9,2.05299681876107,1.02221488828028,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,10,100.1,1642,2.21080326642124,1.03745597270163,U
BH-01722,NRB,950,BW high saline|cold,BW-resident,f,11,102.9,1744.9,1.41641745695734,0.879608307271436,U
